Model Configuration,Feature Selection Method,Number of Features,Classifier,MCC,F1,Accuracy,Balanced Accuracy,Sensitivity,Specificity
Full Dataset,Boruta,90,NeuralNetwork,0.539 (0.468–0.609),0.894 (0.880–0.908),0.835 (0.813–0.858),0.748 (0.708–0.787),0.925 (0.908–0.943),0.570 (0.490–0.650)
"Baseline model, male outputs",Boruta,90,NeuralNetwork,0.400 (0.304–0.497),0.908 (0.893–0.923),0.844 (0.820–0.869),0.668 (0.622–0.713),0.942 (0.918–0.965),0.393 (0.303–0.484)
"Baseline model, female outputs",Boruta,90,NeuralNetwork,0.603 (0.505–0.702),0.872 (0.840–0.904),0.825 (0.783–0.868),0.788 (0.738–0.837),0.904 (0.865–0.943),0.671 (0.587–0.755)
Sex-Aware,mRMR,100,RandomForest,0.545 (0.497–0.593),0.881 (0.863–0.898),0.823 (0.801–0.846),0.767 (0.745–0.789),0.882 (0.844–0.920),0.652 (0.597–0.707)
Male-Specific,mRMR,20,AdaBoost_TUNED,0.439 (0.336–0.541),0.902 (0.886–0.918),0.838 (0.812–0.865),0.717 (0.660–0.774),0.904 (0.880–0.929),0.530 (0.416–0.644)
Female-Specific,mRMR,20,RandomForest_TUNED,0.618 (0.556–0.681),0.867 (0.848–0.886),0.826 (0.800–0.852),0.811 (0.776–0.847),0.856 (0.828–0.883),0.767 (0.695–0.840)
