Model Configuration,Feature Selection Method,Number of Features,Classifier,MCC,F1,Accuracy,Balanced Accuracy,Sensitivity,Specificity
Full Dataset,Boruta,100,NeuralNetwork,0.521 (0.463–0.579),0.886 (0.872–0.900),0.825 (0.804–0.847),0.744 (0.713–0.775),0.910 (0.887–0.932),0.578 (0.518–0.639)
"Baseline model, male outputs",Boruta,100,NeuralNetwork,0.415 (0.357–0.473),0.903 (0.888–0.918),0.839 (0.817–0.861),0.685 (0.650–0.721),0.924 (0.896–0.951),0.447 (0.361–0.533)
"Baseline model, female outputs",Boruta,100,NeuralNetwork,0.570 (0.490–0.650),0.861 (0.834–0.888),0.810 (0.774–0.846),0.772 (0.727–0.817),0.893 (0.855–0.930),0.651 (0.561–0.741)
Sex-Aware,mRMR,80,RandomForest,0.534 (0.480–0.587),0.880 (0.865–0.895),0.822 (0.801–0.842),0.762 (0.732–0.792),0.883 (0.850–0.916),0.640 (0.567–0.713)
Male-Specific,mRMR,20,AdaBoost_TUNED,0.439 (0.336–0.541),0.902 (0.886–0.918),0.838 (0.812–0.865),0.717 (0.660–0.774),0.904 (0.880–0.929),0.530 (0.416–0.644)
Female-Specific,mRMR,10,RandomForest_TUNED,0.597 (0.542–0.653),0.857 (0.835–0.879),0.813 (0.787–0.840),0.796 (0.766–0.827),0.849 (0.802–0.896),0.743 (0.668–0.819)
