Dataset,Method,N_Features,Feature,MeanAbsSHAP,StdAbsSHAP
baseline_female,Boruta,10,std_6th_delta (MFCC),0.024714583333333328,0.017737801717645947
baseline_female,Boruta,10,std_11th_delta_delta (MFCC),0.02059401709401709,0.022545506166414812
baseline_female,Boruta,10,std_10th_delta_delta (MFCC),0.017881944444444443,0.01047517375366274
baseline_female,Boruta,10,std_8th_delta (MFCC),0.017138888888888888,0.011744281610773415
baseline_female,Boruta,10,std_11th_delta (MFCC),0.017061965811965805,0.016159270164429217
baseline_female,Boruta,10,std_7th_delta (MFCC),0.01524475890985325,0.012734870839174139
baseline_female,Boruta,10,std_9th_delta (MFCC),0.013668803418803414,0.00965887686094351
baseline,Boruta,20,tqwt_energy_dec_26 (TQWT),0.041555555555555554,0.03085948233968328
baseline,Boruta,20,std_delta_delta_log_energy (MFCC),0.03602557319223986,0.03244578327203804
baseline,Boruta,20,mean_MFCC_2nd_coef (MFCC),0.02833305693753455,0.02574095493024338
baseline,Boruta,20,tqwt_entropy_log_dec_12 (TQWT),0.027622004357298478,0.017274537802709766
baseline,Boruta,20,std_6th_delta_delta (MFCC),0.02492791005291005,0.018181696356391486
baseline,Boruta,20,std_delta_log_energy (MFCC),0.023615740740740743,0.022694286198801077
baseline,Boruta,20,tqwt_kurtosisValue_dec_18 (TQWT),0.023589324618736383,0.014102836285982101
baseline,Boruta,20,tqwt_entropy_log_dec_33 (TQWT),0.021393333333333334,0.017336960556633967
baseline,Boruta,20,tqwt_entropy_log_dec_35 (TQWT),0.021048888888888884,0.02157365638374399
baseline,Boruta,20,std_7th_delta_delta (MFCC),0.01978395061728395,0.012696029678461718
baseline,Boruta,20,tqwt_entropy_shannon_dec_12 (TQWT),0.019005446623093683,0.015486452370740157
baseline,Boruta,20,tqwt_TKEO_std_dec_12 (TQWT),0.01819098949695964,0.0175975543274294
baseline,Boruta,20,tqwt_energy_dec_12 (TQWT),0.01715873015873016,0.018984024900441914
baseline,Boruta,20,std_6th_delta (MFCC),0.016907131011608626,0.013977508524794251
baseline,Boruta,20,tqwt_maxValue_dec_12 (TQWT),0.016604575163398694,0.010202480104131438
baseline,Boruta,20,std_9th_delta_delta (MFCC),0.01605489417989418,0.013668495796530818
baseline,Boruta,20,std_11th_delta_delta (MFCC),0.015258169934640518,0.011205450147276367
baseline,Boruta,20,tqwt_entropy_log_dec_34 (TQWT),0.014993333333333334,0.01415714089530809
baseline,Boruta,20,tqwt_TKEO_mean_dec_13 (TQWT),0.014687363834422658,0.011597292489111883
baseline,Boruta,20,std_7th_delta (MFCC),0.014464344941956881,0.009973098280972648
baseline,Boruta,20,apq11Shimmer (Baseline),0.0140239651416122,0.008086529895645156
baseline,Boruta,20,tqwt_entropy_log_dec_11 (TQWT),0.013849629629629628,0.010300831665350268
baseline,Boruta,20,tqwt_energy_dec_11 (TQWT),0.01312185185185185,0.01577359390923451
baseline,Boruta,20,tqwt_TKEO_mean_dec_12 (TQWT),0.012373436350257542,0.012380859886660546
baseline,Boruta,20,tqwt_TKEO_std_dec_13 (TQWT),0.012199346405228757,0.010994367557574927
baseline,Boruta,20,tqwt_stdValue_dec_11 (TQWT),0.01191638608305275,0.011389872257783864
baseline,Boruta,20,tqwt_energy_dec_27 (TQWT),0.011598039215686274,0.011985272538659159
baseline,Boruta,20,std_8th_delta_delta (MFCC),0.011289021164021161,0.008194628347723559
baseline,Boruta,20,std_12th_delta (MFCC),0.011137254901960785,0.007222779046302246
baseline,Boruta,20,std_12th_delta_delta (MFCC),0.011126361655773421,0.01037250333067928
baseline,Boruta,20,tqwt_stdValue_dec_12 (TQWT),0.010836276674025017,0.009347761507524224
baseline,Boruta,20,tqwt_entropy_shannon_dec_13 (TQWT),0.009945533769063182,0.008517457778715007
baseline,Boruta,20,tqwt_entropy_shannon_dec_11 (TQWT),0.009893378226711559,0.010473898861232865
baseline,Boruta,20,std_9th_delta (MFCC),0.009848544973544975,0.0073119915780963055
baseline,Boruta,20,std_11th_delta (MFCC),0.008407407407407409,0.006752027226686481
baseline,Boruta,20,std_10th_delta_delta (MFCC),0.008231299927378359,0.007086922079488724
baseline,Boruta,20,std_8th_delta (MFCC),0.00816372332597498,0.008695019210206401
baseline,Boruta,20,tqwt_TKEO_std_dec_11 (TQWT),0.0076638608305274955,0.010389599589889116
baseline,Boruta,20,std_Log_energy (MFCC),0.006855335533553359,0.0062103097323159
baseline,Boruta,20,tqwt_stdValue_dec_13 (TQWT),0.0057440087145969486,0.004468416869715826
