Dataset,Method,N_Features,Feature,MeanAbsSHAP,StdAbsSHAP
baseline_female,Boruta,10,std_6th_delta (MFCC),0.024713194444444444,0.01773513185422424
baseline_female,Boruta,10,std_11th_delta_delta (MFCC),0.020594017094017092,0.022545506166414812
baseline_female,Boruta,10,std_10th_delta_delta (MFCC),0.017881944444444443,0.010475173753662742
baseline_female,Boruta,10,std_8th_delta (MFCC),0.017138888888888888,0.011744281610773413
baseline_female,Boruta,10,std_11th_delta (MFCC),0.017061965811965816,0.016159270164429217
baseline_female,Boruta,10,std_7th_delta (MFCC),0.015244758909853249,0.01273487083917414
baseline_female,Boruta,10,std_9th_delta (MFCC),0.01366880341880342,0.00965887686094351
baseline,Boruta,20,tqwt_energy_dec_26 (TQWT),0.04155174291938998,0.030856509538882203
baseline,Boruta,20,std_delta_delta_log_energy (MFCC),0.03602557319223986,0.03244578327203804
baseline,Boruta,20,mean_MFCC_2nd_coef (MFCC),0.02833333333333332,0.025740885917655703
baseline,Boruta,20,tqwt_entropy_log_dec_12 (TQWT),0.02762200435729848,0.017274537802709766
baseline,Boruta,20,std_6th_delta_delta (MFCC),0.02492791005291006,0.018181696356391486
baseline,Boruta,20,std_delta_log_energy (MFCC),0.023615740740740743,0.02269428619880107
baseline,Boruta,20,tqwt_kurtosisValue_dec_18 (TQWT),0.02358932461873638,0.0141028362859821
baseline,Boruta,20,tqwt_entropy_log_dec_33 (TQWT),0.02139333333333333,0.017336960556633967
baseline,Boruta,20,tqwt_entropy_log_dec_35 (TQWT),0.021048888888888884,0.02157365638374399
baseline,Boruta,20,std_7th_delta_delta (MFCC),0.019783730158730153,0.012695905656773997
baseline,Boruta,20,tqwt_entropy_shannon_dec_12 (TQWT),0.019005446623093683,0.015486452370740157
baseline,Boruta,20,tqwt_TKEO_std_dec_12 (TQWT),0.01819098949695965,0.017597554327429404
baseline,Boruta,20,tqwt_energy_dec_12 (TQWT),0.01715873015873016,0.018984024900441918
baseline,Boruta,20,std_6th_delta (MFCC),0.016907131011608623,0.013977508524794251
baseline,Boruta,20,tqwt_maxValue_dec_12 (TQWT),0.016604575163398694,0.010202480104131436
baseline,Boruta,20,std_9th_delta_delta (MFCC),0.016054894179894183,0.013668495796530818
baseline,Boruta,20,std_11th_delta_delta (MFCC),0.015258169934640521,0.011205450147276367
baseline,Boruta,20,tqwt_entropy_log_dec_34 (TQWT),0.014993333333333334,0.014157140895308092
baseline,Boruta,20,tqwt_TKEO_mean_dec_13 (TQWT),0.014689542483660131,0.011596658037563186
baseline,Boruta,20,std_7th_delta (MFCC),0.014464344941956881,0.009973098280972648
baseline,Boruta,20,apq11Shimmer (Baseline),0.014027233115468404,0.008095429941290009
baseline,Boruta,20,tqwt_entropy_log_dec_11 (TQWT),0.01384962962962963,0.01030083166535027
baseline,Boruta,20,tqwt_energy_dec_11 (TQWT),0.013121851851851853,0.01577359390923451
baseline,Boruta,20,tqwt_TKEO_mean_dec_12 (TQWT),0.012373436350257543,0.012380859886660546
baseline,Boruta,20,tqwt_TKEO_std_dec_13 (TQWT),0.012197167755991285,0.010995038718828787
baseline,Boruta,20,tqwt_stdValue_dec_11 (TQWT),0.011916386083052746,0.011389872257783864
baseline,Boruta,20,tqwt_energy_dec_27 (TQWT),0.011598039215686272,0.011985272538659159
baseline,Boruta,20,std_8th_delta_delta (MFCC),0.011289241622574954,0.008194479130773997
baseline,Boruta,20,std_12th_delta (MFCC),0.011137254901960785,0.007222779046302246
baseline,Boruta,20,std_12th_delta_delta (MFCC),0.01112636165577342,0.01037250333067928
